diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_1000_1_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 09:34:42.710183 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
stat2017_otherSM_SRB6                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB4                            -0.01, 0.99        -0.00, 0.99       +0.00      +0.001
stat2017_otherSM_SRB3                            +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB2                            -0.01, 1.00        -0.00, 1.00       +0.00      +0.001
stat2017_otherSM_SRB15                           +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB14                           +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB13                           +0.01, 1.00        +0.00, 1.00       -0.00      -0.001
stat2017_otherSM_SRB12                           -0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB11                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB1                            -0.01, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_fake_SRB9                               -0.02, 0.95        -0.00, 0.96       +0.00      +0.001
stat2017_fake_SRB12                              -0.07, 0.84     * -0.00, 0.84*     *-0.00*      -0.000
stat2017_TT_SRB6                                 -0.02, 0.99        -0.00, 0.99       +0.00      +0.000
stat2017_TT_SRB3                                 +0.00, 0.96        -0.00, 0.96       -0.00      -0.001
stat2017_TT_SRB12                                -0.02, 0.99        -0.00, 0.99       -0.00      -0.000
stat2017_TT_SRB11                                -0.00, 0.97        +0.00, 0.97       +0.00      +0.001
stat2017_TT_SRB1                                 -0.02, 0.99        -0.00, 0.99       +0.00      +0.001
stat2017_DY_SRB9                                 +0.00, 0.94        +0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB8                                 +0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2017_DY_SRB7                                 -0.00, 0.99        -0.00, 1.00       +0.00      +0.001
stat2017_DY_SRB6                                 -0.01, 0.99        -0.00, 0.99       +0.00      +0.000
stat2017_DY_SRB5                                 +0.00, 1.98     ! +0.00, 1.00!       -0.00      -0.000
stat2017_DY_SRB4                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB3                                 +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB15                                +1.24, 1.20     * +0.00, 1.00*       -0.00      -0.000
stat2017_DY_SRB14                                +0.00, 1.20     * +0.00, 1.00*       -0.00      -0.000
stat2017_DY_SRB13                                +0.00, 1.14     * +0.00, 1.00*       -0.00      -0.000
stat2017_DY_SRB12                                -0.02, 0.98        -0.00, 0.99       -0.00      -0.000
stat2017_DY_SRB11                                +0.00, 0.99        +0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB10                                +0.00, 2.10     ! +0.00, 1.00!       -0.00      -0.000
stat2016_sig_SRB9                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB8                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB7                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB5                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2016_sig_SRB4                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB3                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB14                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB10                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
